object_type,Cultures/periods,count
axe,Neolithic/Bronze Age,883
coin,Greek,622
coin,Roman Provincial,561
vessel,Romano-British,519
coin,Anglo-Saxon,465
coin,Roman Imperial,387
print,Showa Era,376
painting,Edo Period,367
vessel,Neolithic,363
flake,Neolithic/Bronze Age,340
tablet,Old Babylonian,273
coin,Sasanian,265
vessel,Iron Age,237
print,Edo Period,236
bowl,Romano-British,232
end-and-sidescraper,Neolithic/Bronze Age,213
core,Neolithic/Bronze Age,206
handaxe,Lower Palaeolithic,205
illustratedbook,Edo Period,197
tablet,Late Babylonian,191
endscraper,Neolithic/Bronze Age,185
vessel,Medieval,183
leafarrow-head,Neolithic,182
vessel,Islamic,178
brooch,Iron Age,161
floor-tile,Late Medieval,161
seal,Late Medieval,159
socketedaxe,Late Bronze Age,156
lamp,Roman,155
tablet,Achaemenid Dynasty,155
tablet,Third Dynasty of Ur,153
vessel,Neolithic/Bronze Age,151
spear-head,Bronze Age,150
illustratedbook,Meiji Era,146
posyring,Post-Medieval,141
flake,Lower Palaeolithic,138
hangingscroll,Edo Period,137
coin,Roman Republican,134
print,Heisei Era,132
knife,Neolithic/Bronze Age,129
palstave,Middle Bronze Age,129
blade,Neolithic,128
tablet,Neo-Babylonian Dynasty,123
hangingscroll,Qing dynasty,123
blade,Neolithic/Bronze Age,117
lekythos,Attic,116
coin,Continental Iron Age,114
transversearrow-head,Neolithic,114
jug,Medieval,113
artefact,Upper Palaeolithic,112
flake,Palaeolithic,110
kylix,Attic,109
retouchedflake,Neolithic/Bronze Age,108
jar,Romano-British,108
axe,Bronze Age,107
print,Meiji Era,102
cup,Attic,100
cast,Neolithic/Bronze Age,98
sword,Iron Age,97
bowl,Qing dynasty,96
tablet,Neo-Assyrian,96
surimono,Edo Period,95
bowl,Roman,94
scraper,Neolithic/Bronze Age,93
brooch,Romano-British,90
flake,Neolithic,89
sidescraper,Neolithic/Bronze Age,89
netsuke,Edo Period,88
coin,Parthian,88
mortarium,Romano-British,86
handaxe,Palaeolithic,81
bowl,Ming dynasty,80
coin,Arab-Sasanian,79
bracelet,Iron Age,78
vessel,Bronze Age,77
core,Lower Palaeolithic,77
figure,Late Period,77
bead,Early Anglo-Saxon,76
amulet,Late Period,76
sample,Neolithic,76
print,Kansei Era,75
newspaperperiodical,Showa Era,74
axe,Neolithic,74
point,Neolithic/Bronze Age,73
animalremains,Neolithic,72
sword,Late Bronze Age,71
print,Republic,71
vessel,Taino,71
cup,Qing dynasty,71
finger-ring,Romano-British,70
battle-axe,Neolithic/Bronze Age,69
bowl,Islamic,68
painting,Meiji Era,68
illustratedbook,Bunka Era,68
vase,Qing dynasty,68
ring,Iron Age,68
amphora,Attic,68
vessel,Roman,67
coin,Roman,67
bowl,Iron Age,67
jug,Post-Medieval,67
discoidalscraper,Neolithic/Bronze Age,66
pin,Romano-British,66
toolimplement,Neolithic,66
tangedarrow-head,Neolithic/Bronze Age,66
amulet,Heisei Era,65
artefact,Romano-British,64
bead,Neolithic,64
cylinderseal,Old Babylonian,64
hammer,Neolithic/Bronze Age,63
scarab,New Kingdom,63
dish,Ming dynasty,61
fabricator,Neolithic/Bronze Age,61
axe-hammer,Neolithic/Bronze Age,61
jar,Iron Age,61
hangingscroll,Ming dynasty,61
textile,Coptic,61
core,Palaeolithic,61
beaker,Neolithic/Bronze Age,60
dagger,Bronze Age,60
print,Tenpo Era,59
urn,Romano-British,59
bowl,Song dynasty,58
whetstone,Neolithic,58
figure,Hellenistic,58
handle,Taino,58
cooking-pot,Medieval,58
spoon,Romano-British,57
socketedaxe,Bronze Age,57
jar,Parthian,56
toolimplement,Neolithic/Bronze Age,56
pin,Bronze Age,56
triptychprint,Meiji Era,55
seal,Post-Medieval,55
dagger,Early Bronze Age,55
pilgrimbadge,Late Medieval,54
coin,Qing dynasty,54
artefact,Early Anglo-Saxon,54
illustratedbook,Kansei Era,54
jar,Ming dynasty,53
vessel,Late Bronze Age,53
statuette,Romano-British,53
handaxe,Middle Palaeolithic,52
brick,Neo-Assyrian,52
photobook,Heisei Era,52
shield,Early Anglo-Saxon,52
awl,Neolithic,51
pebble,Neolithic,51
torc,Iron Age,51
chisel,Neolithic/Bronze Age,51
dish,Qing dynasty,51
illustratedbook,Bunsei Era,50
spear-head,Early Anglo-Saxon,50
scarab,Late Period,50
figure,Ptolemaic,50
figure,Qing dynasty,50
lamp,Early Byzantine,50
fan,Qing dynasty,50
hydria,Attic,50
cloth-seal,Post-Medieval,50
figure,Roman,49
neck-amphora,Attic,49
tile,Islamic,49
artefact,Iron Age,49
celt,Neolithic,49
transportamphora,Hellenistic,49
collaredurn,Bronze Age,49
buckle,Early Anglo-Saxon,49
beaker,Roman,48
coin,Ottoman dynasty,48
razor,Bronze Age,48
illustratedbook,Tenpo Era,48
illustratedbook,Showa Era,48
saucer,Qing dynasty,47
jar,Roman,47
flake,Mesolithic,47
amphora,Romano-British,47
photobook,Showa Era,47
bowl,Medieval,47
bowl,Middle Islamic,47
palstave,Bronze Age,47
tile,Romano-British,46
sample,Neolithic/Bronze Age,46
flataxe,Early Bronze Age,46
core,Neolithic,46
axe,Middle Neolithic,45
triptychprint,Edo Period,45
album,Islamic,45
vessel,Chimu,45
buckle,Merovingian,45
bowl,Neolithic,44
jug,Roman,44
handle,Neolithic,44
lamp,Romano-British,44
print,Qing dynasty,44
bracelet,Romano-British,44
pitcher,Medieval,44
skyphos,Attic,43
flake,Middle Palaeolithic,43
tablet,Seleucid Era,43
vessel,Early Bronze Age,43
hammerstone,Neolithic,43
animalremains,Taino,43
coin,Northern Song dynasty,43
pin,Early Anglo-Saxon,43
blade,Mesolithic,43
knife,Early Anglo-Saxon,43
knife,Bronze Age,42
spear-head,Iron Age,42
print,Bunka Era,42
sample,Iron Age,42
sample,Romano-British,42
print,Taisho Era,42
print,Bunsei Era,42
sword,Bronze Age,42
diptychprint,Edo Period,41
vessel,Song dynasty,41
needle,Romano-British,41
scraper,Neolithic,41
ostracon,Coptic,41
scraper,Palaeolithic,41
barbed-and-tangedarrow-head,Late Neolithic/Early Bronze Age,40
bead,Iron Age,40
knife,Iron Age,40
spear-head,Middle Bronze Age,40
mount,Early Anglo-Saxon,40
bowl,Tang dynasty,40
blade,Palaeolithic,39
cosmetic-grinder,Iron Age,39
cylinderseal,Neo-Assyrian,39
vessel,Parthian,39
textile,Early Christian Period,39
dish,Romano-British,39
sword,Early Anglo-Saxon,39
snuff-bottle,Qing dynasty,39
bowl,Mesopotamian,39
notchedscraper,Neolithic/Bronze Age,39
pin,Iron Age,39
trumpetbrooch,Romano-British,38
bead,Romano-British,38
axe,Middle Bronze Age,38
bead,Mesopotamian,38
vase,Ming dynasty,38
adze,Neolithic/Bronze Age,38
artefact,Neolithic,38
vessel,Edo Period,38
bottle,Roman,38
amulet,New Kingdom,38
dish,Edo Period,37
scraper,Lower Palaeolithic,37
axe,Early Bronze Age,37
bifaciallyworkedpiece,Lower Palaeolithic,37
jar,Islamic,37
bowl,Attic,37
jar,Qing dynasty,37
statue,18th Dynasty,36
bowl,Early Islamic,36
cruciformbrooch,Early Anglo-Saxon,36
vessel,Kofun Period,36
loom-weight,Neolithic,36
figure,Ming dynasty,36
ring,Early Anglo-Saxon,36
knappingfragment,Lower Palaeolithic,36
figure,Roman Period,36
vessel,Post-Medieval,36
leafpoint,Neolithic,35
bowl,Hellenistic,35
cosmetic-grinder,Romano-British,35
bowl,Yuan dynasty,35
teapot,Qing dynasty,35
fitting,Romano-British,35
vessel,Abbasid dynasty,34
vessel,Maya,34
core,Mesolithic,34
jar,Late Sasanian,34
vessel,Early Anglo-Saxon,34
statue,Roman,34
hammerstone,Neolithic/Bronze Age,34
bead,New Kingdom,34
penannularbracelet,Bronze Age,34
vessel,Ming dynasty,33
jar,Early Islamic,33
ringedpin,Celtic,33
vessel,Early Islamic,33
scarab,18th Dynasty,33
vessel,Ottoman dynasty,33
vessel,18th Dynasty,33
bowl,Mamluk dynasty,33
album,Mughal dynasty,33
core,Middle Palaeolithic,33
figure,Romano-British,32
model,18th Dynasty,32
stela,Coptic,32
vessel,Classic Maya,32
beaker,Romano-British,32
vase,Heisei Era,32
cup,East Greek,32
stamp-seal,Late Sasanian,32
knife,Romano-British,32
awl,Bronze Age,32
arrow-head,Neolithic/Bronze Age,32
ring,Bronze Age,32
coin,Ayyubid dynasty,31
artefact,Anglo-Saxon,31
bowl,Late Islamic,31
arrow-head,Neolithic,31
retouchedblade,Neolithic/Bronze Age,31
stamp-seal,Sasanian,31
coin,Abbasid dynasty,31
flake,Prehistoric,31
discbrooch,Early Anglo-Saxon,31
arrow-head,Classical Greek,30
bangle,Islamic,30
rapier,Late Bronze Age,30
vessel,Sasanian,30
bead,Middle Kingdom,30
painting,Showa Era,30
stamnos,Attic,30
jar,Sasanian,30
oinochoe,Attic,30
tabletcase,Old Babylonian,30
bowl,Southern Song dynasty,29
spear-head,Late Bronze Age,29
bowl,Bronze Age,29
tile,Post-Medieval,29
bottle,Qing dynasty,29
cylinderseal,Third Dynasty of Ur,29
illustratedbook,Tenmei Era,29
bowl,Roman Imperial,29
disc,Neolithic,29
toolimplement,Palaeolithic,29
flue-tile,Romano-British,29
coin,Song dynasty,29
figure,18th Dynasty,29
vessel,Early Historic,29
smoking-pipe,Prehistoric,29
handscroll,Qing dynasty,29
kantharos,Attic,29
terret,Iron Age,28
toolimplement,Predynastic,28
scarab,Second Intermediate,28
figurine,Classic Maya,28
artefact,Palaeolithic,28
bottle,Islamic,28
banknote,Republic,28
vessel,Roman Period,28
bowl,Parthian,28
cup,Romano-British,28
cylinderseal,Mitannian,28
