object_type_clean,count
Abacus,1
Abayah,2
Accessorycup,1
Accounts Book,3
Acornlekythos,1
Acousticjar,3
Acrocup,1
Adhesivesample,6
Adinkra Stamp,5
Adire,11
Admission Ticket,24
Adorno,13
Advertisement,7
Adze,501
Adze Polisher,1
Adze Sharpener,1
Aeolipile,21
Aerophone,2
Aeroplane,5
Afena,1
Agriculturalequipment,3
Agriculturaltoolimplement,13
Ahuayo,4
Aigrette,3
Aircraft Chronometer,1
Alabastron,110
Alam,1
Alarm Mechanism,2
Alarmclock,15
Alarmwatch,58
Albarello,23
Album,340
Alforja,1
Almanac,7
Almilla,3
Alms Bowl,5
Alms Box,1
Alphabet,1
Altar,47
Altar Cloth,4
Altar Frontal,1
Altar Ornament,8
Altar Piece,1
Altar Ring,1
Altar Vase,17
Altar Vessel,4
Altarflower,1
Altartusk,2
Ammunition Belt,2
Ammunition Case,1
Ammunition Pouch,3
Amphora,260
Amphora Cover,2
Amphora Stand,1
Amphoriskos,77
Amphoroidkrater,8
Ampulla,30
Amulet,762
Amulet Belt,1
Amulet Box,5
Amulet Case,26
Amulet Frame,1
Amulet Holder,1
Amulet Mould,18
Amulet Ring,2
Amulet Seal,3
Amuleticwand,7
Anatomicalvotive,7
Anchor,7
Angavastrum,1
Angon,2
Animal Head Dress,4
Animal Headbrooch,1
Animalequipment,5
Animalmummy,39
Animalremains,718
Animalvegetalremains,3
Anklet,83
Annularbrooch,9
Antefix,19
Antlerbonechisel,2
Anvil,19
Apostlespoon,7
Apothecary Jar,6
Apothecary Weight,2
Applicator,13
Appliedbrooch,14
Apron,187
Apron Tie,1
Aquamanile,7
Ara,3
Arch,11
Archersloose,10
Architecturaldrawing,5
Architecturalfitting,19
Architecture,81
Architrave,1
Arithmeticaljewel,1
Arkillakerka,3
Arkillakunta,1
Arm Band,72
Arm Cuff,2
Arm Dagger,60
Arm Guard,13
Arm Ornament,31
Arm Press,2
Arm Rest,1
Arm Ring,43
Arm Shield,1
Armature,1
Armbrustbrooch,3
Armbrustsprossenbrooch,1
Armillarysphere,3
Armlet,448
Armour,30
Armsequipment,1
Arrow,810
Arrow Case,3
Arrow Head,702
Arrow Holder,1
Arrow Stand,1
Arrow Straightener,1
Artefact,1683
Artificialegg,1
Artificialhand,1
Artistbook,48
Artistpostcard,25
Artwritingequipment,1
Aryballos,39
Ashtray,6
Askos,62
Assignat,10
Astragalus,3
Astrolabe,18
Astrolabe Case,1
Astrolabicclock,1
Astronomersclock,2
Astronomicalclock,9
Astronomicalcompendium,16
Astronomicaldial,2
Astronomicalwatch,3
Auger,2
Aurignacianblade,1
Autograph Album,1
Automaton,3
Automatonclock,7
Automatonwatch,8
Awl,295
Awl Case,1
Axe,2042
Axe Adze,29
Axe Hammer,103
Axle,13
Ayaga Pata,1
Baby Carrier,60
Baby Cover,1
Baby Feeder,5
Baby Rattle,4
Baby Walker,1
Back Ornament,18
Back Pack,6
Back Pad,1
Back Plate,2
Back Rest,14
Back Scratcher,9
Backedblade,42
Backedbladelet,53
Backedknife,6
Backgammon Board,3
Backgammon Piece,1
Backplate,1
Backrack,1
Backscrubber,1
Badge,256
Badge Mould,2
Bag,659
Bagbeaker,2
Bagpipes,8
Baguettedemi Ronde,3
Bailamphora,1
Bailer,8
Bait,2
Baji,2
Bakhnuq,3
Baking Cup,1
Baking Tray,2
Balance,66
Balance Case,13
Balance Weight,3
Balancespringblueingtool,1
Balancetruingcalipers,1
Balangandam,2
Baldric,17
Ball,122
Ball Stick,5
Ballistabolt,4
Balsamarium,3
Baluster,1
Balusterjug,40
Balustervase,6
Balustrade,1
Band,23
Band Cup,19
Bandage,4
Bandana,3
Bandolier,11
Bangle,328
Bangle Mould,1
Banjo,3
Bankbook,6
