production date,count
-350000,1
-52400,1
-42400,1
-40000,1
-11000,2
-8000,7
-7000,5
-6000,7
-5000,5
-4000,1
-3500,6
-3400,1
-3300,3
-3200,1
-3100,2
-3050,1
-3000,22
-2985,1
-2800,7
-2700,1
-2650,3
-2600,83
-2570,1
-2500,69
-2460,1
-2450,2
-2400,9
-2300,10
-2250,10
-2200,3
-2150,1
-2130,1
-2100,6
-2075,1
-2043,1
-2028,1
-2026,1
-2020,2
-2007,1
-2000,38
-1995,1
-1940,1
-1930,2
-1900,4
-1850,6
-1836,1
-1820,1
-1800,24
-1750,3
-1720,1
-1700,38
-1650,1
-1600,1
-1550,3
-1500,14
-1490,1
-1485,1
-1480,1
-1479,1
-1465,1
-1450,6
-1400,16
-1380,1
-1375,1
-1370,4
-1350,7
-1330,2
-1318,1
-1300,15
-1285,1
-1280,2
-1275,3
-1270,1
-1260,3
-1250,12
-1230,1
-1220,1
-1215,1
-1210,1
-1200,19
-1150,4
-1100,18
-1090,1
-1033,1
-1001,1
-1000,38
-954,1
-950,1
-940,1
-900,31
-885,1
-879,1
-852,1
-850,1
-830,1
-825,1
-820,1
-800,53
-770,2
-760,2
-750,5
-740,6
-735,1
-730,6
-728,2
-717,1
-714,2
-710,1
-700,87
-694,2
-691,2
-683,1
-680,1
-673,1
-672,1
-671,2
-670,4
-664,2
-660,1
-650,4
-649,3
-648,3
-646,1
-645,1
-643,1
-640,2
-630,1
-625,2
-623,1
-620,1
-610,1
-605,1
-600,114
-590,1
-580,2
-577,1
-575,2
-570,1
-568,1
-560,4
-550,37
-540,11
-539,1
-535,1
-530,8
-525,2
-520,9
-517,1
-516,1
-510,13
-500,316
-491,1
-490,8
-485,2
-480,23
-474,1
-470,14
-460,17
-450,41
-440,17
-430,15
-425,5
-424,2
-421,1
-420,5
-410,1
-409,1
-405,1
-400,199
-385,1
-380,1
-370,1
-360,2
-356,4
-350,22
-345,1
-340,1
-325,3
-324,1
-320,1
-318,1
-305,1
-300,162
-280,1
-275,1
-270,1
-265,1
-260,1
-250,4
-240,1
-230,3
-225,1
-219,1
-213,1
-212,1
-211,3
-210,1
-209,2
-208,1
-206,1
-200,214
-196,1
-190,2
-185,2
-180,1
-175,1
-168,2
-166,1
-161,1
-160,1
-159,1
-153,1
-150,7
-146,1
-145,1
-137,1
-136,1
-133,1
-129,1
-126,1
-125,3
-124,1
-122,1
-121,1
-120,7
-119,1
-115,1
-107,1
-105,1
-103,1
-100,255
-95,1
-89,2
-85,3
-82,3
-80,3
-75,14
-70,1
-66,1
-61,1
-59,1
-56,1
-50,29
-49,3
-48,1
-47,1
-45,1
-44,2
-43,7
-42,2
-41,5
-40,6
-39,3
-38,5
-36,2
-32,1
-31,1
-30,7
-28,1
-27,18
-25,14
-23,3
-21,1
-20,17
-19,4
-18,2
-17,4
-16,7
-15,11
-13,2
-12,2
-11,1
-10,41
25,9
50,35
85,22
100,584
102,1
103,1
105,3
106,1
108,1
109,1
110,9
113,6
115,2
116,1
117,15
120,6
125,40
130,3
134,1
135,1
137,1
139,1
140,15
150,54
160,7
163,1
166,1
172,1
178,1
180,2
185,9
186,2
188,2
192,3
193,2
194,6
196,1
199,2
200,391
204,1
209,1
211,2
214,1
217,1
220,5
225,11
226,1
227,1
228,1
230,1
238,7
240,1
248,1
250,8
253,2
269,6
270,1
271,3
274,1
275,1
285,7
287,2
288,2
294,2
297,2
300,269
301,1
303,1
305,3
307,1
308,2
317,1
319,1
321,1
322,2
325,2
326,1
335,2
338,1
340,2
350,3
380,1
383,1
384,1
385,7
400,251
402,1
404,1
410,5
425,20
450,4
459,1
462,1
477,1
485,36
497,4
498,2
499,2
500,564
501,10
502,3
503,1
505,2
509,1
511,1
513,1
518,2
519,1
520,1
521,2
523,1
524,1
525,33
527,1
528,1
534,1
535,1
547,1
549,1
550,7
551,1
552,5
553,1
555,1
558,3
559,1
560,1
561,1
562,1
563,3
564,2
566,2
567,2
570,2
571,4
572,1
573,1
574,2
575,1
576,1
577,1
578,2
580,3
581,2
582,2
583,3
584,4
585,26
587,7
588,4
589,3
590,12
591,2
592,3
593,6
594,2
596,3
597,1
598,1
599,4
600,445
603,2
605,2
606,2
610,2
611,1
614,1
615,1
616,1
617,1
618,3
619,1
620,3
621,3
622,1
624,3
625,127
626,1
627,1
628,6
629,8
630,2
631,1
632,3
637,1
638,1
640,1
642,1
650,8
651,5
652,1
653,1
656,2
658,1
660,1
661,6
662,1
663,1
666,1
667,1
671,2
672,6
673,1
674,1
675,5
677,3
678,2
679,3
680,2
681,2
682,9
683,2
684,1
685,41
686,3
687,1
688,5
689,1
690,1
692,1
694,2
695,1
696,1
697,2
698,1
700,121
704,1
708,2
711,1
715,1
722,1
724,1
725,18
728,1
730,1
735,1
737,1
742,1
749,1
750,3
753,1
757,1
759,2
760,1
762,2
763,1
764,3
770,2
778,1
779,1
780,1
783,2
785,14
786,1
787,1
788,1
789,2
790,1
791,2
796,2
800,321
818,1
825,18
832,1
835,1
850,12
859,1
864,2
868,1
885,20
892,1
897,1
900,209
903,1
904,1
910,1
912,1
916,1
918,1
919,1
925,23
926,1
938,2
947,2
950,7
959,4
960,1
963,2
964,1
967,1
970,5
972,1
978,1
980,1
985,4
990,1
991,1
998,1
1000,128
1004,2
1008,1
1012,1
1016,1
1018,1
1020,1
1023,3
1025,6
1032,1
1034,1
1039,4
1043,2
1050,2
1055,1
1056,1
1066,1
1068,1
1071,1
1073,1
1081,1
1084,1
1085,7
1091,1
1092,1
1100,162
1101,2
1107,2
1109,2
1113,1
1125,12
1127,1
1129,1
1130,1
1131,1
1144,1
1150,6
1154,1
1159,1
1160,1
1161,1
1165,1
1170,1
1171,1
1177,2
1180,10
1184,2
1185,16
1187,1
1188,1
1189,2
1193,1
1195,1
1196,1
1200,298
1203,2
1205,13
1206,3
1210,4
1213,1
1215,2
1217,4
1218,1
1221,2
1224,1
1225,37
1226,1
1230,1
1232,1
1235,1
1237,2
1239,2
1241,2
1242,1
1243,1
1247,1
1248,2
1250,10
1257,1
1258,1
1259,1
1262,1
1267,1
1270,1
1277,1
1278,1
1279,4
1280,4
1285,38
1289,2
1290,1
1291,1
1295,2
1297,1
1300,455
1301,1
1303,1
1308,1
1309,1
1321,1
1322,1
1325,33
1330,4
1333,3
1339,1
1340,1
1341,3
1342,1
1344,1
1345,2
1348,1
1350,7
1351,2
1352,1
1354,1
1358,1
1375,5
1376,7
1385,34
1388,1
1389,1
1391,1
1393,3
1396,3
1399,1
1400,359
1402,1
1406,1
1408,1
1410,3
1413,1
1420,1
1421,1
1423,1
1425,20
1426,1
1427,1
1430,4
1432,2
1440,1
1445,1
1446,3
1450,7
1453,3
1455,1
1457,2
1458,1
1459,3
1460,5
1461,1
1464,3
1465,1
1469,2
1470,3
1471,1
1472,1
1473,1
1475,5
1477,3
1478,1
1480,8
1481,2
1482,2
1484,2
1485,71
1486,2
1487,1
1489,1
1490,7
1491,5
1492,9
1494,2
1495,7
1496,2
1497,4
1498,2
1499,4
1500,496
1501,6
1502,2
1503,2
1504,3
1505,2
1506,8
1507,7
1508,8
1509,3
1510,11
1511,3
1512,5
1513,9
1514,11
1515,19
1516,11
1517,17
1518,19
1519,11
1520,39
1521,9
1522,3
1523,11
1524,12
1525,75
1526,6
1527,4
1528,2
1529,4
1530,18
1531,6
1532,12
1533,4
1534,11
1535,11
1536,10
1537,6
1538,3
1539,9
1540,17
1541,9
1542,6
1543,6
1544,9
1545,11
1546,2
1547,8
1548,12
1549,8
1550,51
1551,15
1552,11
1553,14
1554,10
1555,12
1556,3
1557,8
1558,16
1559,9
1560,30
1561,6
1562,9
1563,9
1564,2
1565,10
1566,12
1567,8
1568,18
1569,11
1570,35
1571,14
1572,21
1573,16
1574,12
1575,32
1576,17
1577,18
1578,18
1579,18
1580,35
1581,15
1582,12
1583,19
1584,13
1585,119
1586,26
1587,11
1588,20
1589,21
1590,32
1591,13
1592,16
1593,13
1594,26
1595,17
1596,17
1597,21
1598,29
1599,14
1600,742
1601,22
1602,13
1603,18
1604,21
1605,18
1606,15
1607,7
1608,16
1609,11
1610,44
1611,12
1612,12
1613,11
1614,9
1615,14
1616,22
1617,18
1618,33
1619,21
1620,33
1621,12
1622,19
1623,18
1624,17
1625,110
1626,11
1627,22
1628,12
1629,12
1630,39
1631,23
1632,23
1633,24
1634,17
1635,27
1636,16
1637,10
1638,26
1639,19
1640,44
1641,20
1642,24
1643,36
1644,31
1645,37
1646,39
1647,25
1648,24
1649,56
1650,136
1651,74
1652,97
1653,75
1654,55
1655,68
1656,126
1657,170
1658,118
1659,118
1660,97
1661,29
1662,60
1663,109
1664,219
1665,137
1666,490
1667,468
1668,416
1669,322
1670,129
1671,64
1672,39
1673,32
1674,18
1675,29
1676,19
1677,24
1678,23
1679,32
1680,50
1681,20
1682,32
1683,36
1684,26
1685,175
1686,29
1687,31
1688,36
1689,49
1690,58
1691,45
1692,32
1693,35
1694,40
1695,24
1696,27
1697,29
1698,19
1699,20
1700,1177
1701,26
1702,34
1703,27
1704,18
1705,20
1706,17
1707,35
1708,22
1709,22
1710,29
1711,10
1712,23
1713,25
1714,26
1715,31
1716,15
1717,20
1718,17
1719,15
1720,63
1721,23
1722,19
1723,26
1724,37
1725,100
1726,16
1727,39
1728,33
1729,23
1730,49
1731,45
1732,29
1733,32
1734,35
1735,43
1736,31
1737,37
1738,30
1739,28
1740,83
1741,38
1742,38
1743,45
1744,37
1745,48
1746,50
1747,43
1748,44
1749,46
1750,216
1751,59
1752,36
1753,49
1754,52
1755,64
1756,42
1757,75
1758,35
1759,40
1760,142
1761,70
1762,72
1763,63
1764,50
1765,80
1766,50
1767,43
1768,57
1769,57
1770,186
1771,70
1772,84
1773,88
1774,83
1775,142
1776,134
1777,165
1778,100
1779,92
1780,240
1781,105
1782,118
1783,107
1784,152
1785,354
1786,142
1787,167
1788,186
1789,160
1790,331
1791,169
1792,211
1793,215
1794,256
1795,269
1796,195
1797,202
1798,172
1799,185
1800,4320
1801,168
1802,179
1803,181
1804,187
1805,183
1806,184
1807,187
1808,160
1809,205
1810,241
1811,246
1812,201
1813,195
1814,245
1815,269
1816,196
1817,190
1818,172
1819,186
1820,364
1821,247
1822,213
1823,223
1824,224
1825,1350
1826,166
1827,203
1828,191
1829,198
1830,366
1831,194
1832,200
1833,190
1834,183
1835,184
1836,223
1837,131
1838,147
1839,145
1840,271
1841,150
1842,109
1843,110
1844,133
1845,122
1846,91
1847,134
1848,161
1849,113
1850,657
1851,139
1852,117
1853,122
1854,144
1855,164
1856,108
1857,93
1858,126
1859,111
1860,320
1861,87
1862,102
1863,156
1864,100
1865,239
1866,89
1867,167
1868,145
1869,106
1870,227
1871,130
1872,123
1873,125
1874,107
1875,125
1876,107
1877,103
1878,141
1879,164
1880,287
1881,92
1882,103
1883,89
1884,83
1885,1076
1886,134
1887,109
1888,92
1889,99
1890,225
1891,150
1892,122
1893,111
1894,122
1895,143
1896,112
1897,97
1898,138
1899,87
1900,2426
1901,91
1902,145
1903,103
1904,123
1905,177
1906,362
1907,137
1908,119
1909,117
1910,211
1911,144
1912,116
1913,116
1914,137
1915,103
1916,94
1917,134
1918,124
1919,98
1920,392
1921,164
1922,110
1923,119
1924,217
1925,1714
1926,99
1927,147
1928,107
1929,155
1930,683
1931,139
1932,154
1933,232
1934,178
1935,257
1936,289
1937,167
1938,139
1939,113
1940,218
1941,57
1942,51
1943,59
1944,76
1945,66
1946,246
1947,217
1948,99
1949,80
1950,583
1951,47
1952,63
1953,81
1954,89
1955,57
1956,57
1957,68
1958,53
1959,61
1960,267
1961,52
1962,82
1963,66
1964,110
1965,61
1966,56
1967,52
1968,65
1969,114
1970,837
1971,208
1972,128
1973,133
1974,88
1975,116
1976,99
1977,64
1978,74
1979,129
1980,1200
1981,196
1982,105
1983,148
1984,96
1985,440
1986,111
1987,99
1988,117
1989,201
1990,595
1991,160
1992,179
1993,187
1994,178
1995,141
1996,131
1997,128
1998,134
1999,91
2000,455
2001,131
2002,189
2003,85
2004,75
2005,109
2006,104
2007,76
2008,115
2009,103
2010,115
2011,106
2012,81
2013,67
2014,94
2015,79
2016,67
2017,59
2018,32
2019,34
2020,43
2021,27
2022,16
2023,4
2025,3
2800,1
2885,1
3500,1
