Country,museumCount,iso3,Population,Museums_per_100k
United States,33082,USA,332099760.0,9.961464591242102
Germany,6741,DEU,83196078.0,8.102545410854583
Japan,5738,JPN,125681593.0,4.565505467455366
China,5535,CHN,1412360000.0,0.39189724999291964
Russian Federation,5415,RUS,144746762.0,3.741016327536225
France,4811,FRA,67842811.0,7.09139248372241
Brazil,3906,BRA,209550294.0,1.8639916582507872
Italy,3195,ITA,59133173.0,5.403058618214179
United Kingdom,3183,GBR,66984000.0,4.751881046219993
Canada,2245,CAN,38239864.0,5.87083677912662
Spain,1732,ESP,47443821.0,3.650633451298115
Sweden,1600,SWE,10415811.0,15.361261835492213
Thailand,1526,THA,71727332.0,2.127501410480457
Mexico,1320,MEX,127648148.0,1.0340925588673642
Poland,1233,POL,36981559.0,3.334094162985395
Argentina,1183,ARG,45312281.0,2.610771238817132
Switzerland,1129,CHE,8704546.0,12.970234174188981
South Korea,1102,KOR,51769539.0,2.128664889212168
Australia,919,AUS,25685412.0,3.5779064007227137
Belgium,912,BEL,11586195.0,7.871436653707278
Hungary,813,HUN,9630932.0,8.441550620438397
Austria,776,AUT,8955797.0,8.664778801931307
Netherlands,688,NLD,17533044.0,3.924019126399272
Portugal,662,PRT,10361831.0,6.3888322440310015
Ukraine,647,UKR,44298640.0,1.4605414522883773
Iran,628,IRN,88455488.0,0.7099616023824321
Norway,609,NOR,5408320.0,11.26042837701911
Turkey,515,TUR,84147318.0,0.6120218828602475
India,500,IND,1414203896.0,0.03535558072030654
Greece,487,GRC,10569207.0,4.607725063952291
Czech Republic,481,CZE,10505772.0,4.578435549524585
Colombia,468,COL,51188173.0,0.9142736936518521
Romania,440,ROU,19122059.0,2.3010074385817973
Denmark,359,DNK,5856733.0,6.129697221983656
Mongolia,342,MNG,3383741.0,10.107156546556016
Cuba,338,CUB,11122168.0,3.038975854347821
Finland,326,FIN,5541017.0,5.883396495625261
Georgia,323,GEO,3708610.0,8.709462574926993
Chile,322,CHL,19456334.0,1.654988036286795
Ireland,319,IRL,5110585.0,6.241946861269307
Saudi Arabia,261,SAU,30784383.0,0.8478324870113525
Kazakhstan,245,KAZ,19743603.0,1.240908257727832
Malaysia,236,MYS,34282399.0,0.6883998987352081
New Zealand,236,NZL,5111300.0,4.6172206679318375
South Africa,233,ZAF,61502603.0,0.37884575389435143
Bulgaria,232,BGR,6507301.0,3.5652261974665076
Peru,227,PER,33155882.0,0.6846447336252434
Israel,226,ISR,9371400.0,2.4115927182704824
Azerbaijan,222,AZE,10137750.0,2.1898350225641785
Uruguay,217,URY,3396695.0,6.388563000210499
Slovak Republic,213,SVK,5447247.0,3.9102320860427295
Philippines,192,PHL,113100950.0,0.1697598472868707
Ecuador,183,ECU,17682454.0,1.0349242248841704
Cyprus,180,CYP,1317309.0,13.664220012161156
Estonia,180,EST,1330932.0,13.524357367619082
Vietnam,170,VNM,98935098.0,0.17182981918105544
Indonesia,163,IDN,276758053.0,0.05889620852333428
Croatia,162,HRV,3878981.0,4.176354563221629
Latvia,156,LVA,1884490.0,8.278101767586985
Serbia,149,SRB,6834326.0,2.1801710951453
Paraguay,147,PRY,6684182.0,2.1992219840812233
Moldova,125,MDA,2595809.0,4.815454449845886
