State_name,Counts,People_per_museum,Museums_per_100k,Population,Area_km2,Museums_per_km2
Aberdeen,11.0,20364.0,4.910626595953644,224004.0,65.1,0.169
Aberdeenshire,31.0,8513.0,11.74674027957242,263903.0,6312.6277,0.0049
Anglesey,12.0,5740.0,17.421602787456447,68880.0,714.0,0.0168
Angus,15.0,7627.0,13.111315064901008,114405.0,2181.4523,0.0069
Antrim,13.0,21896.30769230769,4.566980031758077,284652.0,3086.0,0.0042
Argyll and Bute,27.0,3185.0,31.39717425431711,85995.0,6906.8251,0.0039
Armagh,17.0,12862.0,7.774840615767377,218654.0,1357.0,0.0125
Barking and Dagenham,1.0,218869.0,0.456894306640045,218869.0,36.1015,0.0277
Barnet,4.0,97336.0,1.0273691131749816,389344.0,86.7481,0.0461
Barnsley,8.0,30572.0,3.2709668978149944,244576.0,329.0777,0.0243
Bath and North East Somerset,19.0,10179.0,9.824147755182238,193401.0,345.8783,0.0549
Bedford,8.0,23153.0,4.31909471774716,185224.0,476.4082,0.0168
Belfast,19.0,18180.0,5.5005500550055,345420.0,137.717,0.138
Bexley,3.0,82157.0,1.217181737405212,246471.0,60.5784,0.0495
Birmingham,23.0,49779.0,2.008879246268507,1144917.0,267.7912,0.0859
Blackburn with Darwen,4.0,38685.0,2.584981258885873,154740.0,137.0223,0.0292
Blackpool,2.0,70518.0,1.4180776539323294,141036.0,34.8708,0.0574
Blaenau Gwent,6.0,11151.0,8.967805577975069,66906.0,108.728,0.0552
Bolton,5.0,59193.0,1.689388948017502,295965.0,139.7921,0.0358
Bournemouth,8.0,50025.0,1.999000499750125,400200.0,46.0,0.1739
Bracknell Forest,1.0,124607.0,0.802523132729301,124607.0,109.3843,0.0091
Bradford,15.0,36427.0,2.745216460317896,546405.0,366.4197,0.0409
Brent,1.0,339816.0,0.2942769027944534,339816.0,43.233,0.0231
Bridgend,2.0,72744.0,1.3746838227207745,145488.0,250.7854,0.008
Brighton and Hove,12.0,23092.0,4.330504070673826,277104.0,82.833,0.1449
Bristol,14.0,33748.0,2.963138556358896,472472.0,110.0,0.1273
Bromley,5.0,65998.0,1.5151974302251583,329990.0,150.1303,0.0333
Buckinghamshire,26.0,21272.0,4.701015419330576,553072.0,1564.9377,0.0166
Bury,3.0,64617.0,1.5475803581100949,193851.0,99.46,0.0302
Caerphilly,4.0,43988.0,2.2733472765299627,175952.0,277.3877,0.0144
Calderdale,7.0,29519.0,3.387648633083776,206633.0,363.9609,0.0192
Cambridgeshire,44.0,15428.181818181818,6.481645159389547,678840.0,3389.0,0.013
Camden,31.0,6779.0,14.751438265230862,210149.0,21.7895,1.4227
Cardiff,6.0,60385.0,1.6560404073859405,362310.0,140.9144,0.0426
Carmarthenshire,11.0,17082.0,5.854115443156539,187902.0,2370.2764,0.0046
Central Bedfordshire,11.0,26750.0,3.738317757009346,294250.0,715.6655000000001,0.0154
Ceredigion,13.0,5498.0,18.188432157148053,71474.0,1784.9806,0.0073
Channel Islands,24.0,6947.0,14.394702749388228,166728.0,198.0,0.1212
Cheshire East,25.0,15951.0,6.269199423233653,398775.0,1166.3578,0.0214
Cheshire West and Chester,9.0,39683.0,2.519970768339088,357147.0,920.018,0.0098
Clackmannanshire,2.0,25900.0,3.861003861003861,51800.0,159.185,0.0126
Conwy,11.0,10431.0,9.586808551433228,114741.0,1125.8225,0.0098
Cornwall,76.0,7504.0,13.326226012793176,570304.0,3545.4344,0.0214
Coventry,6.0,57554.0,1.7374986968759776,345324.0,98.6392,0.0608
Croydon,2.0,195360.0,0.511875511875512,390720.0,86.49680000000001,0.0231
Cumbria,56.0,8925.964285714286,11.203271355235728,499854.0,6768.0,0.0083
Darlington,2.0,53900.0,1.855287569573284,107800.0,197.4779,0.0101
Denbighshire,14.0,6844.0,14.61133839859731,95816.0,836.9177000000001,0.0167
Derby,8.0,32671.0,3.060818462856968,261368.0,78.0312,0.1025
Derbyshire,48.0,16554.854166666668,6.040524367852832,794633.0,2625.0,0.0183
Derry,5.0,30151.0,3.316639580776757,150755.0,1237.0,0.004
Devon,80.0,10145.625,9.856465225158628,811650.0,6707.0,0.0119
Doncaster,5.0,61621.0,1.6228233881306695,308105.0,568.0064,0.0088
Dorset,53.0,7162.0,13.962580284836635,379586.0,2490.9567,0.0213
Dudley,6.0,53914.0,1.854805801832548,323484.0,97.9582,0.0613
Dumfries and Galloway,34.0,4291.0,23.30459100442788,145894.0,6425.834699999999,0.0053
Dundee,10.0,14810.0,6.75219446320054,148100.0,67.0,0.1493
Durham,18.0,29004.0,3.447800303406427,522072.0,14.8,1.2162
Ealing,1.0,367115.0,0.2723942088991188,367115.0,55.5445,0.018
East Ayrshire,9.0,13367.0,7.481110196753198,120303.0,1262.1315,0.0071
East Dunbartonshire,3.0,36333.0,2.7523188286131064,108999.0,174.4891,0.0172
East Lothian,11.0,10209.0,9.795278675678324,112299.0,679.2405,0.0162
East Renfrewshire,1.0,96800.0,1.0330578512396695,96800.0,174.24740000000003,0.0057
East Riding of Yorkshire,22.0,15555.0,6.428801028608165,342210.0,2403.5994,0.0092
East Sussex,41.0,13313.09756097561,7.511399923420362,545837.0,1792.0,0.0229
Edinburgh,39.0,13146.0,7.606876616461281,512694.0,264.0,0.1477
