Country,Number_of_museums
United States,33082
Germany,6741
Japan,5738
China,5535
Russian Federation,5415
France,4811
Brazil,3906
Italy,3195
United Kingdom,3183
Canada,2245
Spain,1732
Sweden,1600
Thailand,1526
Mexico,1320
Poland,1233
Argentina,1183
Switzerland,1129
South Korea,1102
Australia,919
Belgium,912
Hungary,813
Austria,776
Netherlands,688
Portugal,662
Ukraine,647
Iran,628
Norway,609
Turkey,515
India,500
Greece,487
Czech Republic,481
Colombia,468
Romania,440
Denmark,359
Mongolia,342
Cuba,338
Finland,326
Georgia,323
Chile,322
Ireland,319
Saudi Arabia,261
Kazakhstan,245
Malaysia,236
New Zealand,236
South Africa,233
