County_or_LAD,Counts,Population,People_per_museum,Museums_per_100k
Aberdeen City,11.0,224004.0,20364.0,4.9106265959536435
Aberdeenshire,31.0,263903.0,8513.0,11.74674027957242
Angus,15.0,114405.0,7627.0,13.111315064901008
Antrim and Newtownabbey,3.0,145662.0,48554.0,2.0595625489146108
Ards and North Down,6.0,163662.0,27277.0,3.666092312204421
Argyll and Bute,27.0,85995.0,3185.0,31.39717425431711
"Armagh City, Banbridge and Craigavon",17.0,218654.0,12862.0,7.774840615767377
Bath and North East Somerset,19.0,193401.0,10179.0,9.824147755182238
Bedford,8.0,185224.0,23153.0,4.31909471774716
Belfast,19.0,345420.0,18180.0,5.5005500550055
Blackburn with Darwen,4.0,154740.0,38685.0,2.584981258885873
Blackpool,2.0,141036.0,70518.0,1.4180776539323294
Blaenau Gwent,6.0,66906.0,11151.0,8.967805577975069
"Bournemouth, Christchurch and Poole",8.0,400200.0,50025.0,1.999000499750125
Bracknell Forest,1.0,124607.0,124607.0,0.802523132729301
Bridgend,2.0,145488.0,72744.0,1.3746838227207743
Brighton and Hove,12.0,277104.0,23092.0,4.330504070673826
"Bristol, City of",14.0,472472.0,33748.0,2.9631385563588957
Buckinghamshire,26.0,553072.0,21272.0,4.7010154193305755
Caerphilly,4.0,175952.0,43988.0,2.2733472765299627
Cambridgeshire,44.0,678840.0,15428.181818181818,6.481645159389547
Cardiff,6.0,362310.0,60385.0,1.6560404073859403
Carmarthenshire,11.0,187902.0,17082.0,5.854115443156539
Causeway Coast and Glens,7.0,141743.0,20249.0,4.938515482246037
Central Bedfordshire,11.0,294250.0,26750.0,3.738317757009346
Ceredigion,13.0,71474.0,5498.0,18.188432157148053
Cheshire East,25.0,398775.0,15951.0,6.269199423233653
Cheshire West and Chester,9.0,357147.0,39683.0,2.5199707683390873
City of Edinburgh,39.0,512694.0,13146.0,7.606876616461281
Clackmannanshire,2.0,51800.0,25900.0,3.8610038610038613
Conwy,11.0,114741.0,10431.0,9.586808551433228
Cornwall,76.0,570304.0,7504.0,13.326226012793176
County Durham,18.0,522072.0,29004.0,3.447800303406427
Cumbria,56.0,499854.0,8925.964285714286,11.203271355235728
Darlington,2.0,107800.0,53900.0,1.8552875695732838
