State_name,Counts,People_per_museum,Museums_per_100k,Population
Aberdeen,11.0,20364.0,4.9106265959536435,224004.0
Aberdeenshire,31.0,8513.0,11.74674027957242,263903.0
Anglesey,12.0,5740.0,17.421602787456447,68880.0
Angus,15.0,7627.0,13.111315064901008,114405.0
Antrim,13.0,21896.30769230769,4.566980031758077,284652.0
Argyll and Bute,27.0,3185.0,31.39717425431711,85995.0
Armagh,17.0,12862.0,7.774840615767377,218654.0
Barking and Dagenham,1.0,218869.0,0.456894306640045,218869.0
Barnet,4.0,97336.0,1.0273691131749816,389344.0
Barnsley,8.0,30572.0,3.2709668978149944,244576.0
Bath and North East Somerset,19.0,10179.0,9.824147755182238,193401.0
Bedford,8.0,23153.0,4.31909471774716,185224.0
Belfast,19.0,18180.0,5.5005500550055,345420.0
Bexley,3.0,82157.0,1.217181737405212,246471.0
Birmingham,23.0,49779.0,2.008879246268507,1144917.0
Blackburn with Darwen,4.0,38685.0,2.584981258885873,154740.0
Blackpool,2.0,70518.0,1.4180776539323294,141036.0
Blaenau Gwent,6.0,11151.0,8.967805577975069,66906.0
Bolton,5.0,59193.0,1.689388948017502,295965.0
Bournemouth,8.0,50025.0,1.999000499750125,400200.0
Bracknell Forest,1.0,124607.0,0.802523132729301,124607.0
Bradford,15.0,36427.0,2.745216460317896,546405.0
Brent,1.0,339816.0,0.29427690279445345,339816.0
Bridgend,2.0,72744.0,1.3746838227207743,145488.0
Brighton and Hove,12.0,23092.0,4.330504070673826,277104.0
Bristol,14.0,33748.0,2.9631385563588957,472472.0
Bromley,5.0,65998.0,1.5151974302251583,329990.0
Buckinghamshire,26.0,21272.0,4.7010154193305755,553072.0
Bury,3.0,64617.0,1.5475803581100949,193851.0
Caerphilly,4.0,43988.0,2.2733472765299627,175952.0
Calderdale,7.0,29519.0,3.387648633083776,206633.0
Cambridgeshire,44.0,15428.181818181818,6.481645159389547,678840.0
Camden,31.0,6779.0,14.751438265230862,210149.0
Cardiff,6.0,60385.0,1.6560404073859403,362310.0
Carmarthenshire,11.0,17082.0,5.854115443156539,187902.0
Central Bedfordshire,11.0,26750.0,3.738317757009346,294250.0
Ceredigion,13.0,5498.0,18.188432157148053,71474.0
Channel Islands,24.0,6947.0,14.394702749388227,166728.0
Cheshire East,25.0,15951.0,6.269199423233653,398775.0
Cheshire West and Chester,9.0,39683.0,2.5199707683390873,357147.0
Clackmannanshire,2.0,25900.0,3.8610038610038613,51800.0
Conwy,11.0,10431.0,9.586808551433228,114741.0
Cornwall,76.0,7504.0,13.326226012793176,570304.0
Coventry,6.0,57554.0,1.7374986968759776,345324.0
Croydon,2.0,195360.0,0.511875511875512,390720.0
Cumbria,56.0,8925.964285714286,11.203271355235728,499854.0
Darlington,2.0,53900.0,1.8552875695732838,107800.0
Denbighshire,14.0,6844.0,14.61133839859731,95816.0
Derby,8.0,32671.0,3.0608184628569677,261368.0
Derbyshire,48.0,16554.854166666668,6.040524367852832,794633.0
Derry,5.0,30151.0,3.3166395807767572,150755.0
Devon,80.0,10145.625,9.856465225158628,811650.0
Doncaster,5.0,61621.0,1.6228233881306697,308105.0
Dorset,53.0,7162.0,13.962580284836637,379586.0
Dudley,6.0,53914.0,1.8548058018325482,323484.0
Dumfries and Galloway,34.0,4291.0,23.304591004427873,145894.0
Dundee,10.0,14810.0,6.7521944632005395,148100.0
Durham,18.0,29004.0,3.447800303406427,522072.0
Ealing,1.0,367115.0,0.2723942088991188,367115.0
East Ayrshire,9.0,13367.0,7.481110196753198,120303.0
East Dunbartonshire,3.0,36333.0,2.7523188286131064,108999.0
East Lothian,11.0,10209.0,9.795278675678324,112299.0
East Renfrewshire,1.0,96800.0,1.0330578512396695,96800.0
