CTY21NM,Counts,Population,Museums_per_100k
Cambridgeshire,44.0,678840.0,6.481645159389547
Cumbria,56.0,499854.0,11.203271355235728
Derbyshire,48.0,794633.0,6.040524367852832
Devon,80.0,811650.0,9.856465225158628
East Sussex,41.0,545837.0,7.511399923420362
Essex,73.0,1503529.0,4.855243896193556
Gloucestershire,47.0,645083.0,7.285884142040637
Greater Manchester,57.0,2867773.0,1.9876050161571366
Hampshire,68.0,1301481.0,5.224816958526479
Hertfordshire,39.0,1198798.0,3.25325868077858
Inner London,163.0,3404181.0,4.788229533035993
Kent,98.0,1576064.0,6.218021603183628
Lancashire,49.0,1235353.0,3.966477597901167
Leicestershire,30.0,712378.0,4.211247399554731
Lincolnshire,52.0,768362.0,6.76764337642934
Merseyside,38.0,1423290.0,2.669870511280203
Norfolk,79.0,916116.0,8.623362106982086
North Yorkshire,63.0,523509.0,12.034177062858518
Nottinghamshire,26.0,824824.0,3.152187618207036
Outer London,79.0,5424487.0,1.456358914677093
Oxfordshire,58.0,725293.0,7.996768202643621
Somerset,47.0,571539.0,8.223410825857904
South Yorkshire,30.0,1375015.0,2.181794380424941
Staffordshire,40.0,876096.0,4.5657096939148225
Suffolk,63.0,760678.0,8.282085192420446
Surrey,40.0,1203121.0,3.324686378178088
Tyne and Wear,26.0,1127188.0,2.3066249818131492
Warwickshire,39.0,596782.0,6.5350496496208
West Midlands,54.0,2919645.0,1.8495399269431727
West Sussex,42.0,882674.0,4.758268624656441
West Yorkshire,67.0,2351569.0,2.8491615597926323
Worcestershire,32.0,603672.0,5.300891875057978
